name	pocet	procent	iczuj	kandidatu
navratil	3	0.05357142857142857	553476.tsv	56
sedlak	3	0.21428571428571427	553590.tsv	14
lesek	3	0.06666666666666667	553689.tsv	45
petrzik	3	0.3333333333333333	553751.tsv	9
vachal	3	0.05454545454545454	553824.tsv	55
kalabus	3	0.15	552887.tsv	20
kolar	3	0.06521739130434782	552801.tsv	46
placek	3	0.2727272727272727	553964.tsv	11
chovan	3	0.16666666666666666	554006.tsv	18
smetan	3	0.1	552747.tsv	30
vrb	3	0.08108108108108109	554073.tsv	37
zouzelk	3	0.16666666666666666	554103.tsv	18
ponocn	3	0.15789473684210525	554120.tsv	19
hlisnikovsk	3	0.05660377358490566	552682.tsv	53
herec	3	0.06666666666666667	552674.tsv	45
tomiczek	3	0.06666666666666667	552623.tsv	45
hladik	3	0.1	552241.tsv	30
kurfurst	3	0.1	552232.tsv	30
pridal	3	0.08333333333333333	552178.tsv	36
fajcak	3	0.06818181818181818	554367.tsv	44
cunderl	3	0.08333333333333333	552160.tsv	36
fial	3	0.08333333333333333	552151.tsv	36
kudelk	3	0.09375	554570.tsv	32
mix	3	0.06	552143.tsv	50
smitk	3	0.08333333333333333	554651.tsv	36
hoyer	3	0.10714285714285714	554707.tsv	28
blah	3	0.08333333333333333	554740.tsv	36
benes	3	0.09090909090909091	551961.tsv	33
krebs	3	0.08571428571428572	555193.tsv	35
fial	3	0.06666666666666667	555223.tsv	45
molik	3	0.07692307692307693	555231.tsv	39
urbanik	3	0.10714285714285714	551945.tsv	28
pych	3	0.2727272727272727	551937.tsv	11
mech	3	0.09090909090909091	555355.tsv	33
kubes	3	0.10714285714285714	555371.tsv	28
frisch	3	0.15	555533.tsv	20
kvasnick	3	0.1875	555711.tsv	16
matejk	3	0.1	555797.tsv	30
novotn	3	0.09375	551929.tsv	32
chlup	3	0.05555555555555555	551911.tsv	54
janecek	3	0.25	556203.tsv	12
gabriel	3	0.13636363636363635	556319.tsv	22
macan	3	0.06818181818181818	556378.tsv	44
krumpholc	3	0.1111111111111111	551805.tsv	27
voldrich	3	0.06666666666666667	556432.tsv	45
dvorak	3	0.16666666666666666	556629.tsv	18
vlasak	3	0.06666666666666667	556637.tsv	45
tkadlec	3	0.13636363636363635	556866.tsv	22
niessner	3	0.06666666666666667	551732.tsv	45
chlup	3	0.1111111111111111	556963.tsv	27
novak	3	0.06666666666666667	551678.tsv	45
karlik	3	0.3333333333333333	551627.tsv	9
kulich	3	0.05454545454545454	500020.tsv	55
best	3	0.06666666666666667	558257.tsv	45
bax	3	0.13636363636363635	558346.tsv	22
horan	3	0.05357142857142857	558389.tsv	56
hajsman	3	0.16666666666666666	558401.tsv	18
cern	3	0.0967741935483871	558443.tsv	31
sefl	3	0.2	558460.tsv	15
strolen	3	0.16666666666666666	558559.tsv	18
vratnik	3	0.16666666666666666	558605.tsv	18
trisk	3	0.09090909090909091	558630.tsv	33
hlous	3	0.16666666666666666	558931.tsv	18
kinkor	3	0.058823529411764705	551562.tsv	51
tyml	3	0.1	559164.tsv	30
marsan	3	0.07692307692307693	559202.tsv	39
havlik	3	0.08823529411764706	559237.tsv	34
mencl	3	0.05357142857142857	559491.tsv	56
prochazk	3	0.05555555555555555	559695.tsv	54
van	3	0.42857142857142855	551546.tsv	7
planet	3	0.14285714285714285	560235.tsv	21
dank	3	0.14285714285714285	560308.tsv	21
sommer	3	0.13636363636363635	560421.tsv	22
pokorn	3	0.25	560634.tsv	12
hlavick	3	0.058823529411764705	551368.tsv	51
sivak	3	0.1111111111111111	560707.tsv	27
kucer	3	0.21428571428571427	551333.tsv	14
kares	3	0.11538461538461539	551180.tsv	26
fial	3	0.06666666666666667	550922.tsv	45
bend	3	0.17647058823529413	561045.tsv	17
lipchavsk	3	0.13043478260869565	561223.tsv	23
partl	3	0.06818181818181818	550540.tsv	44
langr	3	0.21428571428571427	561347.tsv	14
dalik	3	0.23076923076923078	561371.tsv	13
dvorak	3	0.06666666666666667	561410.tsv	45
matys	3	0.05555555555555555	561444.tsv	54
zeman	3	0.375	561461.tsv	8
novak	3	0.05454545454545454	561533.tsv	55
judl	3	0.10714285714285714	550451.tsv	28
kettner	3	0.05454545454545454	561746.tsv	55
ouhel	3	0.25	561789.tsv	12
podmanick	3	0.08571428571428572	561851.tsv	35
jonas	3	0.375	561908.tsv	8
matej	3	0.1875	561932.tsv	16
jahn	3	0.1	561983.tsv	30
broz	3	0.1875	562009.tsv	16
ros	3	0.16666666666666666	550434.tsv	18
hlavin	3	0.2727272727272727	562084.tsv	11
flekl	3	0.09375	562114.tsv	32
svetlik	3	0.1111111111111111	550272.tsv	27
trilet	3	0.15789473684210525	562327.tsv	19
dvorak	3	0.2	562378.tsv	15
ferdan	3	0.375	562416.tsv	8
bicenc	3	0.057692307692307696	562645.tsv	52
ruzick	3	0.06976744186046512	562700.tsv	43
vozabal	3	0.1111111111111111	550221.tsv	27
pec	3	0.3333333333333333	562742.tsv	9
trojan	3	0.06818181818181818	562751.tsv	44
kucharovic	3	0.1111111111111111	562891.tsv	27
provaznik	3	0.1111111111111111	562947.tsv	27
kolar	3	0.09090909090909091	562998.tsv	33
lisk	3	0.3333333333333333	563048.tsv	9
valehrach	3	0.08333333333333333	550132.tsv	36
pacik	3	0.15789473684210525	550086.tsv	19
burian	3	0.07142857142857142	563200.tsv	42
duchon	3	0.058823529411764705	563218.tsv	51
soukup	3	0.06666666666666667	563242.tsv	45
pribyl	3	0.2727272727272727	550035.tsv	11
orsuliak	3	0.075	563285.tsv	40
dvorak	3	0.05555555555555555	563323.tsv	54
bejblik	3	0.375	563447.tsv	8
vychodil	3	0.3333333333333333	549967.tsv	9
hubner	3	0.08333333333333333	563528.tsv	36
